,0
cost,77.29072233333329
viol_main,0.0
viol_window,0.072552
reclaimed tonnage,406566.6295425665
available tonnage,400000.0
parcel_list,"[(penalty_avg=0, penalty_window=0.046489), (penalty_avg=0, penalty_window=0.045854), (penalty_avg=0, penalty_window=0.238356), (penalty_avg=0, penalty_window=0.069057)]"
seed,885310
time,82269.7181502562
count_local,29686
