,0
cost,21.664362333333333
viol_main,0.0
viol_window,0.0
reclaimed tonnage,106273.92438512432
available tonnage,100000.0
parcel_list,"[(penalty_avg=0, penalty_window=0)]"
seed,619165
time,60.770061415999976
count_local,0
