,0
cost,48.90604933333335
violation,0.0
reclaimed tonnage,0.0
available tonnage,300000.0
parcel_list,"[(penalty=0), (penalty=0), (penalty=0)]"
seed,360284
time,3240.178680062294
count_local,15767.0
